Number,Artist,Streams,Feats,Tracks,Billion,Million
272,Galantis,"4,427,621,050","102,139,066",243,0,8
273,Avril Lavigne,"4,418,987,832","25,567,335",154,0,10
274,Glee Cast,"4,375,931,294",0,723,0,0
275,Bring Me The Horizon,"4,372,894,185","85,729,842",141,0,11
276,Ne-Yo,"4,368,629,006","2,245,144,528",204,0,10
277,Lil Durk,"4,367,616,218","3,009,354,038",359,0,6
278,Kane Brown,"4,364,488,364","29,797,048",98,0,10
279,Kehlani,"4,361,626,721","2,028,969,469",124,0,10
280,Kevin Gates,"4,359,021,971","739,286,985",314,0,6
281,Niall Horan,"4,338,726,666","517,135,427",69,0,11
282,Bryson Tiller,"4,330,601,767","1,295,854,047",70,0,8
283,Jonas Brothers,"4,329,888,033","498,204,068",95,1,9
284,Bizarrap,"4,326,642,648","503,968,381",87,0,12
285,Capital Bra,"4,317,253,980","673,800,705",276,0,9
286,Lil Tjay,"4,313,086,274","1,884,183,028",65,0,11
287,Snoop Dogg,"4,300,203,668","6,192,858,304",726,1,7
288,Macklemore & Ryan Lewis,"4,290,529,937","4,265,483",48,1,6
289,Lil Tecca,"4,273,063,329","302,858,918",79,1,11
290,Luke Bryan,"4,267,128,439","540,870,550",149,0,14
291,Natti Natasha,"4,253,199,571","2,141,323,366",93,0,9
292,Wisin,"4,226,257,427","5,360,562,962",131,0,10
293,Aerosmith,"4,219,398,737",0,318,0,9
294,Vance Joy,"4,216,274,820",0,87,1,9
295,Kelly Clarkson,"4,206,190,955","231,077,825",329,0,8
296,Alejandro Fernández,"4,201,269,620","352,247,735",313,0,11
297,Stevie Wonder,"4,196,723,912","301,358,086",657,0,11
298,Jennifer Lopez,"4,186,796,728","1,097,279,258",240,0,13
299,Johnny Cash,"4,174,390,143","163,740,766","1,679",0,7
300,Maná,"4,119,964,379","63,757,921",220,0,12
301,Thomas Rhett,"4,112,832,625","247,574,441",120,0,15
302,Ryan Lewis,"4,110,355,782","43,371,022",33,1,6
303,Artist,Lead Streams,Feats,Tracks,1b,100m
304,Hans Zimmer,"4,092,359,874","119,832,137","1,545",0,3
305,NAV,"4,088,499,280","396,587,742",117,0,10
306,Lil Pump,"4,054,627,650","2,403,169,234",74,0,10
307,Pearl Jam,"4,052,231,789","77,042,747","2,127",0,9
308,James Bay,"4,051,355,922","1,957,856,299",90,0,9
309,Disturbed,"4,034,857,022","521,301,528",173,0,6
310,YG,"4,034,206,176","997,641",198,0,8
311,Amy Winehouse,"4,024,161,318","1,656,164,329",157,0,7
312,Wisin & Yandel,"4,004,531,845","709,421,106",293,0,12
313,YNW Melly,"3,991,996,348","156,055,221",83,0,9
